HIO1,HIO2,HIO3,HIO4,HIO5,HIO6,HIO7,HIO8,HIO9,HIO10,HIO11,HIO12,HIO13,HIO14,HIO15,treatment,hr,,,,,,,,,,
0.599471377,0.4876455061,0.632764002,0.7428334052,1.0096376855,1.0217452692,0.6327926219,0.8861290995,,,,,,,,E. coli + TNF&IFN,3.6666666667,,,,,,,,,,
0.6056699349,0.4824485803,0.6257167023,0.7400312497,1.0197833715,1.0310006334,0.6390471868,0.8851580486,,,,,,,,E. coli + TNF&IFN,3.8333333333,,,,,,,,,,
0.5978250428,0.4789332136,0.61703598,0.7352057753,1.0171984481,1.0213558302,0.6270800992,0.8825468688,,,,,,,,E. coli + TNF&IFN,4,,,,,,,,,,
0.6055568807,0.477790036,0.6129184756,0.7312218844,1.0208954509,1.0277133754,0.6225237619,0.8794883129,,,,,,,,E. coli + TNF&IFN,4.1666666667,,,,,,,,,,
0.586419984,0.4634278857,0.5900561462,0.714233459,1.0079240619,1.0165698344,0.6122974299,0.8783564331,,,,,,,,E. coli + TNF&IFN,4.3333333333,,,,,,,,,,
0.5944420424,0.4678193872,0.5936820263,0.7229059338,1.0242604151,1.0274153062,0.6156671957,0.8774354717,,,,,,,,E. coli + TNF&IFN,4.5,,,,,,,,,,
0.5832305833,0.4571414285,0.5827493571,0.7138552935,1.0174067621,1.0239394959,0.612332131,0.8756813971,,,,,,,,E. coli + TNF&IFN,4.6666666667,,,,,,,,,,
0.5826541849,0.4547071456,0.5802003615,0.7166733527,1.0224504134,1.0307048793,0.6122224836,0.8752370519,,,,,,,,E. coli + TNF&IFN,4.8333333333,,,,,,,,,,
0.5933227047,0.465222817,0.5831958248,0.7206777076,1.0342275398,1.0313846166,0.6130319715,0.8753048961,,,,,,,,E. coli + TNF&IFN,5,,,,,,,,,,
0.5846865657,0.4533787871,0.5710511646,0.7182136655,1.0292022629,1.038834666,0.6089298902,0.8731925378,,,,,,,,E. coli + TNF&IFN,5.1666666667,,,,,,,,,,
0.5868448894,0.4518811139,0.5697207798,0.7179077721,1.0469458325,1.0498906057,0.6138325775,0.8745225583,,,,,,,,E. coli + TNF&IFN,5.3333333333,,,,,,,,,,
