"","x"
"1104","NADSYN1"
"1105","NAMPT"
"1106","NAMPTP1"
"1107","NANS"
"1108","NAP1L4P1"
"1109","NAT6"
"1110","NAT8"
"1111","NAV2"
"1112","NBR1"
"1113","NCKAP5"
"1114","NCMAP"
"1115","NCOA4"
"1116","NDFIP2"
"1117","NDNF"
"1118","NDRG1"
"1119","NDUFA4L2"
"1120","NEDD4L"
"1121","NEDD9"
"1122","NEK3"
"1123","NEK6"
"1124","NET1"
"1125","NEURL1"
"1126","NEURL1B"
"1127","NEURL3"
"1128","NFE2"
"1129","NFE2L3"
"1130","NFIL3"
"1131","NFKB2"
"1132","NFKBIA"
"1133","NFKBIZ"
"1134","NIPSNAP1"
"1135","NKX3-2"
"1136","NLRX1"
"1137","NMD3"
"1138","NME4"
"1139","NMRK1"
"1140","NMUR2"
"1141","NOCT"
"1142","NOSTRIN"
"1143","NOTCH3"
"1144","NPC1"
"1145","NPC1L1"
"1146","NPEPPS"
"1147","NPIPB11"
"1148","NPIPB12"
"1149","NPPB"
"1150","NPR3"
"1151","NR1H3"
"1152","NR1H4"
"1153","NR4A1"
"1154","NR5A2"
"1155","NRAS"
"1156","NRBP2"
"1157","NSDHL"
"1158","NSMCE1"
"1159","NSUN7"
"1160","NTF4"
"1161","NTS"
"1162","NUAK2"
"1163","NUDT4"
"1164","NUMB"
"1165","NXNL2"
"1166","OBSCN"
"1167","OBSL1"
"1168","OCLN"
"1169","ODF3L1"
"1170","OFD1"
"1171","OPRK1"
"1172","OPTN"
"1173","OR2A7"
"1174","OR52K3P"
"1175","OSER1"
"1176","OSMR"
"1177","OSTC"
"1178","OTC"
"1179","OTOF"
"1180","OTOP3"
"1181","OTUD1"
"1182","OVOL1"
"1183","OVOS2"
"1184","OXSR1"
"1185","OXTR"
"1186","P2RX4"
"1187","P3H2"
"1188","P4HA1"
"1189","P4HA2"
"1190","P4HB"
"1191","PACS1"
"1192","PADI2"
"1193","PAG1"
"1194","PAH"
"1195","PALMD"
"1196","PAPSS2"
"1197","PAQR7"
"1198","PAQR8"
"1199","PARD3"
"1200","PARM1"
"1201","PARP10"
"1202","PARP3"
"1203","PARP9"
"1204","PARVB"
"1205","PATJ"
"1206","PATL1"
"1207","PBX2"
"1208","PBX4"
"1209","PC"
"1210","PCBP1"
"1211","PCCA"
"1212","PCDH18"
"1213","PCGF5"
"1214","PCIF1"
"1215","PCK1"
"1216","PCSK6"
"1217","PDCD4"
"1218","PDE11A"
"1219","PDE1A"
"1220","PDE6B"
"1221","PDE8A"
"1222","PDE9A"
"1223","PDIA3"
"1224","PDIA4"
"1225","PDIA5"
"1226","PDIA6"
"1227","PDK1"
"1228","PDK3"
"1229","PDLIM1"
"1230","PDLIM2"
"1231","PDLIM5"
"1232","PDX1"
"1233","PDXDC1"
"1234","PDXK"
"1235","PDZK1"
"1236","PDZRN4"
"1237","PELI1"
"1238","PELI2"
"1239","PER2"
"1240","PER3"
"1241","PFKFB4"
"1242","PFKL"
"1243","PFKP"
"1244","PFN1"
"1245","PGAM1"
"1246","PGC"
"1247","PGGHG"
"1248","PGK1"
"1249","PGM1"
"1250","PGM3"
"1251","PGRMC1"
"1252","PHF1"
"1253","PHF10"
"1254","PHKA2"
"1255","PHLPP1"
"1256","PHYH"
"1257","PHYKPL"
"1258","PIAS2"
"1259","PIGA"
"1260","PIGZ"
"1261","PIK3C2A"
"1262","PIK3CB"
"1263","PIM3"
"1264","PINLYP"
"1265","PITX2"
"1266","PIWIL2"
"1267","PJA1"
"1268","PJA2"
"1269","PKD1L1"
"1270","PKIB"
"1271","PKN2"
"1272","PKP2"
"1273","PLA2G16"
"1274","PLA2G2A"
"1275","PLA2G3"
"1276","PLA2G4F"
