well,plate,treatment,day,plate_pos,broth_pos,censor,dead,bd1,bd2,il6,il8,vegf,sterile_d9_0
D5,2,E. coli,4,1,1,0,1,47.08,1198.02,740.5,4834.03,3514.06,1
A6,2,E. coli,4,0,0,0,0,22.84,0,2.86,88,1360.35,0
B6,2,E. coli,4,0,0,0,0,70.11,0,179.29,4921.23,1788.81,0
C6,2,E. coli,4,0,0,0,0,40.19,85.52,278.9,2098.93,2971.85,0
D6,2,E. coli,4,0,0,0,0,9.15,490.9,292.38,2223.85,2008.7,0
1,3,PBS,4,0,0,0,0,401.25,293.82,1.41,877.79,417.64,0
2,3,PBS,4,0,0,0,0,162.87,89.14,2.13,713.81,219.42,0
3,3,PBS,4,0,0,0,0,76.79,0,2.13,132.62,1194.37,0
4,3,PBS,4,0,0,0,0,56.3,0,0.68,93.27,327.5,0
A1,1,E. coli,5,0,0,0,0,14.46,126.72,478.93,2056.25,4190.1,0
B1,1,E. coli,5,0,0,0,0,47.5,0,223.39,2805.1,1988.45,0
C1,1,E. coli,5,0,0,0,0,31.62,0,18.63,275.81,3246.77,0
D1,1,E. coli,5,0,0,0,0,21.1,0,22,513.37,1188.35,0
A2,1,E. coli,5,0,0,0,0,124.85,367.47,110.05,1225.59,8142.51,0
B2,1,E. coli,5,0,0,0,0,5.87,0,148.57,1718.35,1523.86,0
C2,1,E. coli,5,0,0,0,0,31.04,8.02,22.38,416.76,2859.85,0
D2,1,E. coli,5,1,1,0,1,9.91,854.26,49.08,1085.11,327.64,1
A3,1,E. coli,5,0,0,0,0,13.34,108.27,500.65,5158.35,3443.43,0
B3,1,E. coli,5,0,0,0,0,16.24,280.36,265.41,1046.43,5013.69,0
C3,1,E. coli,5,0,0,0,0,44.43,0,5.76,472.94,1404,0
D3,1,E. coli,5,0,0,0,0,276.72,488.29,7.95,981.86,646.39,0
A4,1,E. coli,5,1,1,0,1,77.36,4141.12,2250,11250,3773.86,1
B4,1,E. coli,5,0,0,0,0,1.01,0,121.6,749.32,1841.61,0
C4,1,E. coli,5,0,0,0,0,5.72,0,4.67,310.67,787.52,0
D4,1,E. coli,5,0,0,0,0,1703.67,737.17,17.15,2410.17,1639.07,0
A5,1,E. coli,5,0,0,0,0,183.07,501.08,281.38,10265.83,5284.73,0
B5,1,E. coli,5,0,0,0,0,33.16,0,77.47,1432.24,984.86,0
C5,1,E. coli,5,0,0,0,0,7.05,0,9.41,1085.11,747.67,0
D5,1,E. coli,5,0,0,0,0,155.67,462.86,11.97,2978.63,1335.83,0
A6,1,E. coli,5,0,0,0,0,14.78,0,550.26,2626.74,1743.06,0
B6,1,E. coli,5,0,0,0,0,11.61,58.66,174.52,4189.06,1915.29,0
C6,1,E. coli,5,0,0,0,0,4.27,0,2.86,73.79,568.95,0
D6,1,E. coli,5,1,1,0,1,,,,,,1
A1,2,E. coli,5,0,0,0,0,529.74,234.51,449.56,7147.74,2221.04,1
B1,2,E. coli,5,1,1,0,1,46.29,859.21,23.5,382.15,380.18,1
C1,2,E. coli,5,1,1,0,1,,,,,,1
D1,2,E. coli,5,1,1,0,1,19.22,1223,35.33,2156.18,776.11,1
A2,2,E. coli,5,0,0,0,0,44.86,508.72,1223.33,4043.45,8592.13,0
B2,2,E. coli,5,0,0,0,0,4.85,0,595.39,1484.67,2304.31,0
C2,2,E. coli,5,0,0,0,0,11.45,309.78,291.73,2945.4,5124.43,1
D2,2,E. coli,5,0,0,0,0,1.71,254.47,249.4,1403.42,1988.44,0
A3,2,E. coli,5,1,1,0,1,328.42,3523.77,1781.45,10473.86,1775.72,1
B3,2,E. coli,5,0,0,0,0,13.65,239.78,735.94,5125.07,3772.58,0
C3,2,E. coli,5,0,0,0,0,35.72,124.62,395.68,1193.55,3954.44,0
D3,2,E. coli,5,0,0,0,0,9.61,0,36.49,447.8,1568.58,0
A4,2,E. coli,5,0,0,0,0,37.34,8.02,23.13,358.78,3739.59,0
B4,2,E. coli,5,0,0,0,0,22.31,442.34,454.77,5056.98,862.52,0
C4,2,E. coli,5,0,0,0,0,33.16,0,111.49,1629.74,3356.51,0
D4,2,E. coli,5,0,0,0,0,4.13,64.1,283.26,2522.4,2126.75,0
A5,2,E. coli,5,0,0,0,0,133.3,3523.77,315.95,9083.69,2354.23,1
B5,2,E. coli,5,0,0,0,0,9.15,239.78,546.09,5144.14,3838.09,0
C5,2,E. coli,5,0,0,0,0,15.75,124.62,13.81,314.57,2049.35,0
D5,2,E. coli,5,1,1,0,1,13.18,0,148.59,1507.37,2090.1,1
A6,2,E. coli,5,0,0,0,0,22.14,8.02,10.14,202.15,2733.91,0
B6,2,E. coli,5,0,0,0,0,39.37,442.34,270.43,5054.94,4624.85,0
C6,2,E. coli,5,0,0,0,0,36.51,0,797.63,3805.71,7264.29,0
D6,2,E. coli,5,0,0,0,0,12.39,64.1,787.05,3228.45,3293.57,0
1,3,PBS,5,0,0,0,0,794.72,571.94,2.86,1435.68,805.21,0
2,3,PBS,5,0,0,0,0,228.92,25.58,6.49,1413.18,270.51,0
3,3,PBS,5,0,0,0,0,85.4,0,5.03,156.18,1749.48,0
4,3,PBS,5,0,0,0,0,79.71,0,0.68,118.24,850.74,0
A1,1,E. coli,6,0,0,0,0,9.07,116.29,379.01,1364.12,3494.98,0
B1,1,E. coli,6,0,0,0,0,32.49,0,266.65,2707.83,3413.15,0
C1,1,E. coli,6,0,0,0,0,20.6,0,23.46,245.03,3744.31,0
D1,1,E. coli,6,0,0,0,0,8.19,0,23.46,381.08,1132,0
A2,1,E. coli,6,0,0,0,0,78.43,602.38,96.43,891.4,8448.84,0
B2,1,E. coli,6,0,0,0,0,6.17,0,126.07,2094.42,789.36,0
C2,1,E. coli,6,0,0,0,0,28.13,0,21.28,492.38,2662.39,0
D2,1,E. coli,6,1,1,0,1,,,,,,1
A3,1,E. coli,6,0,0,0,0,16.23,193.28,368.52,3869.12,4017.53,0
B3,1,E. coli,6,0,0,0,0,9.18,197.06,200.28,842.8,5057.77,0
C3,1,E. coli,6,0,0,0,0,19.94,0,5.58,448.95,1117.48,0
D3,1,E. coli,6,0,0,0,0,148.37,728.02,4.7,661.89,534.34,0
A4,1,E. coli,6,1,1,0,1,42.99,4059.27,2250,11250,1304.91,1
B4,1,E. coli,6,0,0,0,0,3.94,274.46,186.24,1500.09,1877,0
C4,1,E. coli,6,0,0,0,0,2.21,0,6.9,267.02,580.65,0
D4,1,E. coli,6,0,0,0,0,484.67,931.37,19.54,1899.9,1973.45,0
A5,1,E. coli,6,0,0,0,0,146.75,850.98,323.16,10041.05,5463.75,0
B5,1,E. coli,6,0,0,0,0,12.6,0,61.85,1218.32,1341.52,0
C5,1,E. coli,6,0,0,0,0,7.43,0,6.02,886.69,1290.35,0
D5,1,E. coli,6,0,0,0,0,67.72,1205.31,19.1,3099.04,1370.75,0
A6,1,E. coli,6,0,0,0,0,12.72,0,405.76,2569.07,3467.26,0
B6,1,E. coli,6,0,0,0,0,11.32,319.13,159.12,3805.29,2371.78,0
C6,1,E. coli,6,0,0,0,0,4.33,0,6.9,122.94,762.08,0
D6,1,E. coli,6,1,1,0,1,,,,,,1
A1,2,E. coli,6,1,1,0,1,212.21,946.79,390.55,6850.09,3092.1,1
B1,2,E. coli,6,1,1,0,1,,,,,,1
C1,2,E. coli,6,1,1,0,1,,,,,,1
D1,2,E. coli,6,1,1,0,1,,,,,,1
A2,2,E. coli,6,0,0,0,0,35.8,1060.58,835.46,3316.57,8406.43,0
B2,2,E. coli,6,0,0,0,0,1.93,0,302.67,622.97,1548.82,0
C2,2,E. coli,6,1,1,0,1,15.74,918.16,479.96,4537.9,4132.8,1
D2,2,E. coli,6,0,0,0,0,1.21,136.74,204.47,1534.94,1624.1,0
A3,2,E. coli,6,1,1,0,1,,,,,,1
B3,2,E. coli,6,0,0,0,0,4.94,63.1,490.45,2915.07,2738.56,0
