 ,Label,Area,Mean,Min,Max,Median
390,160929_14_R3D_xx_523_xx_t016.tif,333338,60.317734552,50,74,61
391,160929_20_R3D_xx_523_xx_t072.tif,402143,66.901562380,50,83,69
392,160929_30_R3D_xx_523_xx_t125.tif,303324,61.817057008,50,82,62
393,160929_18_R3D_xx_523_xx_t023.tif,535738,61.835701406,50,78,62
394,160929_06_R3D_xx_523_xx_t127.tif,105783,57.953243905,50,80,58
395,160929_27_R3D_xx_523_xx_t078.tif,547800,61.872015334,50,80,62
396,160929_24_R3D_xx_523_xx_t087.tif,655800,64.122886551,50,77,65
397,160929_05_R3D_xx_523_xx_t101.tif,272346,60.974290058,50,82,60
398,160929_13_R3D_xx_523_xx_t035.tif,376751,63.298327012,50,85,63
399,160929_21_R3D_xx_523_xx_t074.tif,551794,69.234154413,50,84,70
400,160929_24_R3D_xx_523_xx_t051.tif,684696,68.111967939,50,83,70
401,160929_21_R3D_xx_523_xx_t083.tif,547524,67.636709989,50,82,69
402,160929_03_R3D_xx_523_xx_t032.tif,97604,57.705575591,50,70,58
403,160929_17_R3D_xx_523_xx_t050.tif,468604,64.166458246,50,82,65
404,160929_20_R3D_xx_523_xx_t070.tif,401634,66.772579015,50,83,69
405,160929_10_R3D_xx_523_xx_t044.tif,130080,54.795694957,50,66,55
406,160929_16_R3D_xx_523_xx_t078.tif,477034,62.644941451,50,81,63
407,160929_27_R3D_xx_523_xx_t135.tif,335403,56.234312156,50,72,56
408,160929_16_R3D_xx_523_xx_t006.tif,418629,61.411882598,50,78,62
409,160929_16_R3D_xx_523_xx_t111.tif,374931,56.569568801,50,70,56
410,160929_28_R3D_xx_523_xx_t016.tif,291155,60.292514297,50,81,60
411,160929_19_R3D_xx_523_xx_t135.tif,459188,58.731957281,50,72,59
412,160929_06_R3D_xx_523_xx_t120.tif,107501,57.243709361,50,77,57
413,160929_08_R3D_xx_523_xx_t026.tif,0,NaN,255,45,255
414,160929_08_R3D_xx_523_xx_t143.tif,0,NaN,255,15,255
415,160929_03_R3D_xx_523_xx_t101.tif,44792,58.578853367,50,74,59
416,160929_18_R3D_xx_523_xx_t032.tif,556927,64.029951861,50,81,65
417,160929_17_R3D_xx_523_xx_t053.tif,473108,64.726130186,50,82,65
418,160929_03_R3D_xx_523_xx_t078.tif,48053,58.911389507,50,74,59
419,160929_20_R3D_xx_523_xx_t013.tif,378728,62.694189497,50,77,64
420,160929_07_R3D_xx_523_xx_t114.tif,95020,61.110587245,50,79,62
421,160929_01_R3D_xx_523_xx_t132.tif,0,NaN,255,18,255
422,160929_21_R3D_xx_523_xx_t012.tif,530044,62.967078205,50,77,64
423,160929_10_R3D_xx_523_xx_t058.tif,109727,53.525495092,50,64,53
424,160929_06_R3D_xx_523_xx_t073.tif,153799,59.033010618,50,83,59
425,160929_15_R3D_xx_523_xx_t090.tif,84180,62.765134236,50,80,63
426,160929_01_R3D_xx_523_xx_t011.tif,275158,63.965790564,50,82,65
427,160929_18_R3D_xx_523_xx_t123.tif,554807,60.114331650,50,75,60
428,160929_07_R3D_xx_523_xx_t119.tif,91789,61.468084411,50,78,62
429,160929_26_R3D_xx_523_xx_t087.tif,103757,63.047688349,50,80,64
430,160929_25_R3D_xx_523_xx_t027.tif,501625,59.890242711,50,79,60
431,160929_24_R3D_xx_523_xx_t139.tif,587453,60.014806291,50,72,61
432,160929_17_R3D_xx_523_xx_t078.tif,457787,62.458532025,50,79,63
433,160929_25_R3D_xx_523_xx_t040.tif,565352,61.890314353,50,82,62
434,160929_11_R3D_xx_523_xx_t034.tif,206893,62.416229645,50,80,63
435,160929_07_R3D_xx_523_xx_t088.tif,116331,62.373064789,50,81,63
436,160929_02_R3D_xx_523_xx_t023.tif,191371,59.028259245,50,79,59
437,160929_25_R3D_xx_523_xx_t006.tif,369852,56.717925008,50,72,56
438,160929_01_R3D_xx_523_xx_t003.tif,303143,64.176952791,50,80,65
439,160929_13_R3D_xx_523_xx_t065.tif,319780,61.166326850,50,78,62
440,160929_13_R3D_xx_523_xx_t016.tif,371772,62.437477809,50,83,62
441,160929_23_R3D_xx_523_xx_t028.tif,607978,66.275755044,50,80,68
442,160929_08_R3D_xx_523_xx_t126.tif,0,NaN,255,11,255
443,160929_29_R3D_xx_523_xx_t114.tif,324676,62.564821545,50,81,64
444,160929_23_R3D_xx_523_xx_t008.tif,575118,63.719048960,50,77,65
445,160929_18_R3D_xx_523_xx_t089.tif,587261,64.531644363,50,84,65
446,160929_07_R3D_xx_523_xx_t111.tif,97991,61.367268423,50,80,62
447,160929_13_R3D_xx_523_xx_t044.tif,378512,63.184213446,50,83,63
448,160929_18_R3D_xx_523_xx_t047.tif,576248,65.619811262,50,82,66
449,160929_27_R3D_xx_523_xx_t129.tif,356460,56.408671380,50,71,56
450,160929_12_R3D_xx_523_xx_t045.tif,374791,63.191597450,50,83,64
451,160929_25_R3D_xx_523_xx_t058.tif,541217,60.184816811,50,78,60
452,160929_07_R3D_xx_523_xx_t120.tif,88851,60.751471565,50,77,61
453,160929_05_R3D_xx_523_xx_t063.tif,327765,60.178484585,50,82,59
454,160929_17_R3D_xx_523_xx_t054.tif,472238,64.569695789,50,82,65
455,160929_10_R3D_xx_523_xx_t109.tif,11871,51.161064780,50,58,51
